ExplorationSID;QuerySID;NbGroAdd;NbGroDel;NbSelAdd;NbSelDel;NbAggAdd;NbAggDel;AggLevel;FilterLevel
80;659;1;0;0;0;0;0;1;0
80;660;1;0;0;0;0;0;2;0
81;661;0;0;0;0;0;0;0;0
82;662;0;0;0;0;0;0;0;0
82;663;1;0;0;0;0;0;1;0
82;664;1;0;0;0;0;0;2;0
82;665;0;0;0;0;0;0;2;0
82;666;0;0;0;0;0;0;2;0
82;667;0;0;0;0;0;0;2;0
82;668;0;0;0;0;0;0;2;0
82;669;0;0;0;0;0;0;2;0
82;670;1;0;0;0;0;0;3;0
82;671;0;0;0;0;0;0;3;0
82;672;0;0;0;0;0;0;3;0
82;673;0;0;0;0;0;0;3;0
82;674;0;0;0;0;0;0;3;0
82;675;0;0;0;0;0;0;3;0
82;676;0;0;0;0;0;0;3;0
83;677;0;0;0;0;0;0;0;0
83;678;1;0;0;0;1;0;1;0
83;679;0;1;1;0;0;1;0;1
84;680;0;0;0;0;0;0;0;0
84;681;1;0;0;0;0;0;1;0
84;682;1;1;0;0;0;0;1;0
84;683;1;1;0;0;0;0;1;0
84;684;1;0;0;0;0;0;2;0
84;685;1;2;0;0;0;0;1;0
84;686;1;0;0;0;0;0;2;0
84;687;1;2;0;0;0;0;1;0
84;688;1;1;0;0;0;0;1;0
85;689;0;0;0;0;0;0;0;0
85;690;0;0;0;0;0;0;0;0
86;691;0;0;0;0;0;0;0;0
87;692;0;0;0;0;0;0;0;0
88;693;0;0;0;0;0;0;0;0
88;694;0;0;1;0;0;0;0;1
89;695;0;0;0;0;0;0;0;0
90;696;0;0;0;0;0;0;0;0
90;697;0;0;1;0;0;0;0;1
90;698;0;0;0;0;0;0;0;2
90;699;0;0;1;0;0;0;0;4
90;700;0;0;1;0;0;0;0;5
90;701;0;0;1;0;0;0;0;6
90;702;0;0;0;0;0;0;0;7
91;703;0;0;0;0;0;0;0;0
92;704;0;0;0;0;0;0;0;0
92;705;0;0;1;0;0;0;0;1
92;706;1;0;0;0;0;0;1;1
92;707;0;1;1;0;0;0;0;2
92;708;1;0;0;0;0;0;1;2
93;709;0;0;0;0;0;0;0;0
93;710;1;0;0;0;0;0;1;0
93;711;1;0;0;0;0;0;2;0
94;712;0;0;0;0;0;0;0;0
94;713;0;0;0;0;0;0;0;0
95;714;0;0;0;0;0;0;0;0
96;715;0;0;0;0;0;0;0;0
